name	volume	thickness	area	meancurv
Left-G&S_frontomargin	2254.0	2.363	852.0	0.141
Left-G&S_occipital_inf	2502.0	2.428	909.0	0.142
Left-G&S_paracentral	2903.0	2.3930000000000002	993.0	0.094
Left-G&S_subcentral	3229.0	2.8289999999999997	1066.0	0.134
Left-G&S_transv_frontopol	1794.0	2.699	446.0	0.157
Left-G&S_cingul-Ant	4534.0	3.037	1373.0	0.11199999999999999
Left-G&S_cingul-Mid-Ant	2536.0	3.053	814.0	0.121
Left-G&S_cingul-Mid-Post	2330.0	2.7289999999999996	824.0	0.121
Left-G_cingul-Post-dorsal	1627.0	3.236	386.0	0.149
Left-G_cingul-Post-ventral	611.0	2.516	199.0	0.14300000000000002
Left-G_cuneus	2498.0	1.8130000000000002	1290.0	0.14300000000000002
Left-G_front_inf-Opercular	3704.0	3.011	897.0	0.13
Left-G_front_inf-Orbital	1113.0	2.8680000000000003	259.0	0.135
Left-G_front_inf-Triangul	3063.0	2.633	931.0	0.138
Left-G_front_middle	12245.0	2.821	3223.0	0.16399999999999998
Left-G_front_sup	21470.0	3.051	5589.0	0.13699999999999998
Left-G_Ins_lg&S_cent_ins	1695.0	3.427	467.0	0.115
Left-G_insular_short	2728.0	3.9560000000000004	475.0	0.10800000000000001
Left-G_occipital_middle	5733.0	2.5780000000000003	1690.0	0.133
Left-G_occipital_sup	2257.0	2.1319999999999997	911.0	0.129
Left-G_oc-temp_lat-fusifor	4240.0	2.819	1217.0	0.141
Left-G_oc-temp_med-Lingual	3996.0	1.726	2181.0	0.14400000000000002
Left-G_oc-temp_med-Parahip	3199.0	3.281	736.0	0.095
Left-G_orbital	6052.0	2.929	1541.0	0.155
Left-G_pariet_inf-Angular	5634.0	2.679	1649.0	0.13699999999999998
Left-G_pariet_inf-Supramar	5276.0	2.823	1558.0	0.149
Left-G_parietal_sup	5500.0	2.471	1721.0	0.11
Left-G_postcentral	3659.0	2.076	1425.0	0.11199999999999999
Left-G_precentral	6548.0	3.005	1625.0	0.10800000000000001
Left-G_precuneus	6274.0	2.469	2032.0	0.136
Left-G_rectus	2116.0	2.623	533.0	0.139
Left-G_subcallosal	969.0	2.401	424.0	0.081
Left-G_temp_sup-G_T_transv	825.0	2.748	247.0	0.149
Left-G_temp_sup-Lateral	5041.0	3.181	1140.0	0.14
Left-G_temp_sup-Plan_polar	2057.0	3.59	495.0	0.069
Left-G_temp_sup-Plan_tempo	1559.0	2.432	565.0	0.1
Left-G_temporal_inf	7653.0	2.832	2064.0	0.15
Left-G_temporal_middle	8247.0	3.123	1904.0	0.159
Left-Lat_Fis-ant-Horizont	362.0	2.384	179.0	0.106
Left-Lat_Fis-ant-Vertical	394.0	2.513	201.0	0.10099999999999999
Left-Lat_Fis-post	1323.0	2.323	692.0	0.11800000000000001
Left-Pole_occipital	3261.0	1.9980000000000002	1422.0	0.14
Left-Pole_temporal	5961.0	3.841	1047.0	0.157
Left-S_calcarine	2502.0	1.725	1707.0	0.127
Left-S_central	3439.0	1.886	2061.0	0.1
Left-S_cingul-Marginalis	1839.0	2.301	870.0	0.11199999999999999
Left-S_circular_insula_ant	848.0	3.1289999999999996	329.0	0.1
Left-S_circular_insula_inf	2096.0	2.785	906.0	0.09699999999999999
Left-S_circular_insula_sup	2370.0	2.779	1078.0	0.102
Left-S_collat_transv_ant	1275.0	2.84	529.0	0.106
Left-S_collat_transv_post	659.0	2.07	342.0	0.161
Left-S_front_inf	4130.0	2.331	1768.0	0.135
Left-S_front_middle	1455.0	2.088	757.0	0.134
Left-S_front_sup	4896.0	2.546	2083.0	0.106
Left-S_interm_prim-Jensen	191.0	2.043	108.0	0.10800000000000001
Left-S_intrapariet&P_trans	3613.0	2.146	1860.0	0.10400000000000001
Left-S_oc_middle&Lunatus	1630.0	1.935	936.0	0.11199999999999999
Left-S_oc_sup&transversal	1555.0	2.1719999999999997	809.0	0.10099999999999999
Left-S_occipital_ant	1217.0	2.275	584.0	0.106
Left-S_oc-temp_lat	1577.0	2.431	716.0	0.105
Left-S_oc-temp_med&Lingual	3366.0	2.458	1519.0	0.11
Left-S_orbital_lateral	617.0	2.23	291.0	0.152
Left-S_orbital_med-olfact	975.0	2.6060000000000003	437.0	0.11699999999999999
Left-S_orbital-H_Shaped	2867.0	2.735	1025.0	0.131
Left-S_parieto_occipital	2649.0	2.239	1256.0	0.11800000000000001
Left-S_pericallosal	1165.0	2.42	727.0	0.127
Left-S_postcentral	4592.0	2.127	2220.0	0.12300000000000001
Left-S_precentral-inf-part	2986.0	2.457	1297.0	0.122
Left-S_precentral-sup-part	2304.0	2.557	1022.0	0.092
Left-S_suborbital	868.0	2.502	435.0	0.12300000000000001
Left-S_subparietal	1567.0	2.456	723.0	0.11199999999999999
Left-S_temporal_inf	2249.0	2.591	1037.0	0.11800000000000001
Left-S_temporal_sup	8831.0	2.461	3865.0	0.107
Left-S_temporal_transverse	613.0	2.897	241.0	0.124
BrainSegVolNotVent	1138958.0	1138958.0	83728.1	1138958.0
eTIV	1649412.84859	1649412.84859	1138958.0	1649412.84859
