name	intensity-avg	volume
Left-wm-bankssts	101.2066	2153.7
Left-wm-caudalanteriorcingulate	100.2954	2908.8
Left-wm-caudalmiddlefrontal	98.8944	6431.9
Left-wm-cuneus	99.3346	3676.8
Left-wm-entorhinal	86.9724	583.9
Left-wm-fusiform	94.258	6922.8
Left-wm-inferiorparietal	100.0981	10220.8
Left-wm-inferiortemporal	96.9942	6842.3
Left-wm-isthmuscingulate	100.2057	3648.2
Left-wm-lateraloccipital	98.9281	11663.9
Left-wm-lateralorbitofrontal	97.678	7172.3
Left-wm-lingual	93.2615	4977.1
Left-wm-medialorbitofrontal	98.9934	4589.0
Left-wm-middletemporal	99.2927	6709.8
Left-wm-parahippocampal	91.5903	1420.6
Left-wm-paracentral	97.7168	4090.4
Left-wm-parsopercularis	100.1992	4434.1
Left-wm-parsorbitalis	99.1197	1099.2
Left-wm-parstriangularis	101.8466	3509.7
Left-wm-pericalcarine	96.2297	4049.4
Left-wm-postcentral	99.4674	8944.4
Left-wm-posteriorcingulate	100.9853	4481.1
Left-wm-precentral	98.7788	14632.8
Left-wm-precuneus	99.0298	9328.9
Left-wm-rostralanteriorcingulate	97.9293	2519.2
Left-wm-rostralmiddlefrontal	99.7426	16272.5
Left-wm-superiorfrontal	98.836	18703.5
Left-wm-superiorparietal	100.3325	13815.5
Left-wm-superiortemporal	99.0601	9573.5
Left-wm-supramarginal	102.1187	9410.7
Left-wm-frontalpole	99.1199	286.8
Left-wm-temporalpole	88.2406	721.9
Left-wm-transversetemporal	96.9628	1194.7
Left-wm-insula	95.5832	10462.7
Right-wm-bankssts	97.8681	2612.5
Right-wm-caudalanteriorcingulate	99.6574	2827.1
Right-wm-caudalmiddlefrontal	98.0093	7265.9
Right-wm-cuneus	99.1012	3049.3
Right-wm-entorhinal	84.9637	756.5
Right-wm-fusiform	92.9205	7186.8
Right-wm-inferiorparietal	98.7603	11142.7
Right-wm-inferiortemporal	94.1652	6490.2
Right-wm-isthmuscingulate	100.0357	3516.7
Right-wm-lateraloccipital	97.3962	13108.2
Right-wm-lateralorbitofrontal	97.0452	6742.5
Right-wm-lingual	92.9932	4821.5
Right-wm-medialorbitofrontal	98.4437	4084.3
Right-wm-middletemporal	95.8763	7474.7
Right-wm-parahippocampal	89.9481	1663.7
Right-wm-paracentral	97.5729	4624.0
Right-wm-parsopercularis	99.637	4121.6
Right-wm-parsorbitalis	99.4835	1305.1
Right-wm-parstriangularis	100.7754	3530.0
Right-wm-pericalcarine	92.6865	3891.1
Right-wm-postcentral	97.2718	8020.5
Right-wm-posteriorcingulate	100.0818	4252.0
Right-wm-precentral	97.352	15027.6
Right-wm-precuneus	98.7081	9170.5
Right-wm-rostralanteriorcingulate	98.9859	2042.7
Right-wm-rostralmiddlefrontal	99.7755	14815.2
Right-wm-superiorfrontal	97.8937	19168.3
Right-wm-superiorparietal	99.3835	11757.8
Right-wm-superiortemporal	96.2878	8450.7
Right-wm-supramarginal	99.2777	8943.1
Right-wm-frontalpole	97.3553	360.1
Right-wm-temporalpole	84.5843	626.2
Right-wm-transversetemporal	94.6139	693.0
Right-wm-insula	93.9488	10556.5
Left-UnsegmentedWhiteMatter	98.7164	34288.7
Right-UnsegmentedWhiteMatter	97.4185	34073.8
