name	intensity-avg	volume
Left-wm-bankssts	103.1226	2250.7
Left-wm-caudalanteriorcingulate	101.1571	2614.8
Left-wm-caudalmiddlefrontal	101.7075	6215.4
Left-wm-cuneus	99.5093	2841.3
Left-wm-entorhinal	87.913	666.8
Left-wm-fusiform	93.775	5134.7
Left-wm-inferiorparietal	103.7232	8018.0
Left-wm-inferiortemporal	96.4763	4472.9
Left-wm-isthmuscingulate	98.8156	3705.0
Left-wm-lateraloccipital	97.6864	10376.9
Left-wm-lateralorbitofrontal	98.8989	6108.0
Left-wm-lingual	92.8933	5777.6
Left-wm-medialorbitofrontal	101.2891	3398.7
Left-wm-middletemporal	100.2258	4682.3
Left-wm-parahippocampal	89.9894	1365.7
Left-wm-paracentral	103.1348	3656.8
Left-wm-parsopercularis	103.1104	3934.3
Left-wm-parsorbitalis	100.0804	751.5
Left-wm-parstriangularis	103.971	2489.3
Left-wm-pericalcarine	93.5984	3286.2
Left-wm-postcentral	102.2258	6266.8
Left-wm-posteriorcingulate	101.0577	4239.0
Left-wm-precentral	102.9326	13697.1
Left-wm-precuneus	101.3592	8539.9
Left-wm-rostralanteriorcingulate	98.5777	1913.7
Left-wm-rostralmiddlefrontal	100.4984	11431.1
Left-wm-superiorfrontal	101.1848	15413.6
Left-wm-superiorparietal	103.365	12366.6
Left-wm-superiortemporal	101.0339	6551.1
Left-wm-supramarginal	105.2764	6833.5
Left-wm-frontalpole	96.822	253.6
Left-wm-temporalpole	90.1137	621.8
Left-wm-transversetemporal	100.7416	674.4
Left-wm-insula	95.4029	9486.5
Right-wm-bankssts	96.8255	2805.1
Right-wm-caudalanteriorcingulate	99.6991	2567.6
Right-wm-caudalmiddlefrontal	101.4968	7262.5
Right-wm-cuneus	97.7041	2833.4
Right-wm-entorhinal	84.6064	685.7
Right-wm-fusiform	88.4263	6165.6
Right-wm-inferiorparietal	99.2602	10563.6
Right-wm-inferiortemporal	88.9484	5372.2
Right-wm-isthmuscingulate	98.6177	3390.4
Right-wm-lateraloccipital	92.9105	8531.6
Right-wm-lateralorbitofrontal	96.0387	6614.6
Right-wm-lingual	90.2731	6059.8
Right-wm-medialorbitofrontal	96.7705	3614.8
Right-wm-middletemporal	92.1987	5813.4
Right-wm-parahippocampal	85.8741	1311.9
Right-wm-paracentral	103.575	4560.2
Right-wm-parsopercularis	99.8799	2855.7
Right-wm-parsorbitalis	96.9545	1021.4
Right-wm-parstriangularis	101.1711	2635.6
Right-wm-pericalcarine	91.0621	3408.9
Right-wm-postcentral	100.5505	6770.1
Right-wm-posteriorcingulate	101.5671	3687.2
Right-wm-precentral	102.0762	12995.6
Right-wm-precuneus	100.4431	8827.8
Right-wm-rostralanteriorcingulate	98.4008	1599.9
Right-wm-rostralmiddlefrontal	99.4831	11337.0
Right-wm-superiorfrontal	100.2546	14929.3
Right-wm-superiorparietal	102.2524	12229.3
Right-wm-superiortemporal	94.1296	5525.5
Right-wm-supramarginal	101.7636	7678.3
Right-wm-frontalpole	93.4937	342.3
Right-wm-temporalpole	85.891	697.6
Right-wm-transversetemporal	95.2388	436.0
Right-wm-insula	91.6425	8196.9
Left-UnsegmentedWhiteMatter	99.4539	23547.2
Right-UnsegmentedWhiteMatter	98.0882	24409.4
