name	volume	thickness	area	meancurv
Left-bankssts	2760.0	2.424	1252.0	0.091
Left-caudalanteriorcingulate	2157.0	2.66	838.0	0.111
Left-caudalmiddlefrontal	5321.0	2.4419999999999997	2088.0	0.105
Left-cuneus	2364.0	1.53	1575.0	0.14800000000000002
Left-entorhinal	2510.0	3.3289999999999997	506.0	0.105
Left-fusiform	9852.0	2.623	3498.0	0.124
Left-inferiorparietal	14021.0	2.4	5516.0	0.11199999999999999
Left-inferiortemporal	16482.0	2.842	4869.0	0.134
Left-isthmuscingulate	3392.0	2.447	1243.0	0.135
Left-lateraloccipital	9096.0	1.931	4579.0	0.132
Left-lateralorbitofrontal	8560.0	2.57	2988.0	0.138
Left-lingual	5423.0	1.896	2864.0	0.142
Left-medialorbitofrontal	5356.0	2.283	2082.0	0.12300000000000001
Left-middletemporal	14031.0	2.8080000000000003	4269.0	0.134
Left-parahippocampal	2146.0	2.309	869.0	0.066
Left-paracentral	3652.0	2.522	1358.0	0.087
Left-parsopercularis	4822.0	2.714	1632.0	0.11900000000000001
Left-parsorbitalis	2552.0	2.69	737.0	0.11199999999999999
Left-parstriangularis	4903.0	2.481	1756.0	0.121
Left-pericalcarine	1603.0	1.36	1416.0	0.139
Left-postcentral	10046.0	1.9980000000000002	4625.0	0.10300000000000001
Left-posteriorcingulate	3449.0	2.529	1268.0	0.141
Left-precentral	15667.0	2.722	5152.0	0.095
Left-precuneus	12891.0	2.339	5260.0	0.122
Left-rostralanteriorcingulate	3017.0	2.9739999999999998	978.0	0.11800000000000001
Left-rostralmiddlefrontal	19971.0	2.324	7584.0	0.128
Left-superiorfrontal	23122.0	2.715	7320.0	0.11699999999999999
Left-superiorparietal	15632.0	2.176	6542.0	0.122
Left-superiortemporal	11871.0	2.812	3837.0	0.10400000000000001
Left-supramarginal	17202.0	2.502	6388.0	0.121
Left-frontalpole	1278.0	2.642	341.0	0.14
Left-temporalpole	3302.0	3.78	618.0	0.13
Left-transversetemporal	1065.0	2.89	355.0	0.11900000000000001
Left-insula	9894.0	3.2030000000000003	3135.0	0.10800000000000001
BrainSegVolNotVent	1297075.0	1297075.0	99335.3	1297075.0
eTIV	1886460.890432	1886460.890432	1297075.0	1886460.890432
