name	volume	thickness	area	meancurv
Left-G&S_frontomargin	2565.0	2.602	916.0	0.14
Left-G&S_occipital_inf	4060.0	2.4330000000000003	1383.0	0.134
Left-G&S_paracentral	2667.0	2.154	1005.0	0.087
Left-G&S_subcentral	3314.0	3.0869999999999997	985.0	0.141
Left-G&S_transv_frontopol	2175.0	2.6439999999999997	678.0	0.165
Left-G&S_cingul-Ant	5421.0	3.073	1652.0	0.13
Left-G&S_cingul-Mid-Ant	2647.0	2.93	919.0	0.132
Left-G&S_cingul-Mid-Post	2703.0	2.642	1003.0	0.127
Left-G_cingul-Post-dorsal	1821.0	3.0469999999999997	472.0	0.162
Left-G_cingul-Post-ventral	572.0	3.07	157.0	0.134
Left-G_cuneus	2200.0	1.71	1185.0	0.139
Left-G_front_inf-Opercular	4439.0	2.897	1123.0	0.136
Left-G_front_inf-Orbital	1567.0	2.892	416.0	0.142
Left-G_front_inf-Triangul	2072.0	2.7960000000000003	620.0	0.124
Left-G_front_middle	10405.0	2.8310000000000004	2804.0	0.14300000000000002
Left-G_front_sup	21526.0	2.9819999999999998	5778.0	0.13
Left-G_Ins_lg&S_cent_ins	1626.0	3.355	476.0	0.127
Left-G_insular_short	2875.0	3.8480000000000003	516.0	0.11900000000000001
Left-G_occipital_middle	4714.0	2.404	1555.0	0.122
Left-G_occipital_sup	2230.0	2.068	913.0	0.13
Left-G_oc-temp_lat-fusifor	5546.0	3.003	1501.0	0.146
Left-G_oc-temp_med-Lingual	4573.0	1.946	2008.0	0.14300000000000002
Left-G_oc-temp_med-Parahip	3363.0	3.221	778.0	0.10400000000000001
Left-G_orbital	5669.0	2.742	1614.0	0.134
Left-G_pariet_inf-Angular	6962.0	2.4659999999999997	2431.0	0.11900000000000001
Left-G_pariet_inf-Supramar	6924.0	2.844	2032.0	0.13699999999999998
Left-G_parietal_sup	5923.0	2.397	1917.0	0.111
Left-G_postcentral	3384.0	2.075	1367.0	0.113
Left-G_precentral	5625.0	2.62	1690.0	0.10800000000000001
Left-G_precuneus	5765.0	2.675	1751.0	0.141
Left-G_rectus	2606.0	2.695	692.0	0.127
Left-G_subcallosal	1649.0	2.273	665.0	0.113
Left-G_temp_sup-G_T_transv	1111.0	2.5989999999999998	329.0	0.102
Left-G_temp_sup-Lateral	6697.0	3.485	1371.0	0.138
Left-G_temp_sup-Plan_polar	2626.0	3.74	545.0	0.076
Left-G_temp_sup-Plan_tempo	2195.0	2.78	707.0	0.102
Left-G_temporal_inf	9240.0	3.074	2154.0	0.146
Left-G_temporal_middle	8358.0	3.175	1904.0	0.145
Left-Lat_Fis-ant-Horizont	301.0	2.542	137.0	0.12300000000000001
Left-Lat_Fis-ant-Vertical	406.0	2.489	195.0	0.128
Left-Lat_Fis-post	1586.0	2.614	758.0	0.11199999999999999
Left-Pole_occipital	2552.0	1.5590000000000002	1493.0	0.127
Left-Pole_temporal	6533.0	3.463	1241.0	0.147
Left-S_calcarine	2034.0	1.945	1207.0	0.131
Left-S_central	3076.0	1.6480000000000001	2205.0	0.126
Left-S_cingul-Marginalis	1651.0	2.2430000000000003	831.0	0.10099999999999999
Left-S_circular_insula_ant	1095.0	2.949	465.0	0.105
Left-S_circular_insula_inf	2040.0	2.905	855.0	0.08900000000000001
Left-S_circular_insula_sup	2702.0	2.7889999999999997	1176.0	0.09699999999999999
Left-S_collat_transv_ant	1863.0	2.682	692.0	0.098
Left-S_collat_transv_post	524.0	1.986	318.0	0.14
Left-S_front_inf	4422.0	2.588	1738.0	0.126
Left-S_front_middle	2032.0	2.45	905.0	0.106
Left-S_front_sup	5260.0	2.627	2075.0	0.11800000000000001
Left-S_interm_prim-Jensen	810.0	2.395	434.0	0.16
Left-S_intrapariet&P_trans	5170.0	2.151	2678.0	0.105
Left-S_oc_middle&Lunatus	1367.0	2.11	760.0	0.134
Left-S_oc_sup&transversal	1521.0	1.9680000000000002	878.0	0.11199999999999999
Left-S_occipital_ant	1572.0	2.45	794.0	0.131
Left-S_oc-temp_lat	1769.0	2.485	820.0	0.111
Left-S_oc-temp_med&Lingual	3358.0	2.463	1502.0	0.111
Left-S_orbital_lateral	535.0	2.334	275.0	0.12300000000000001
Left-S_orbital_med-olfact	1007.0	2.2159999999999997	565.0	0.10300000000000001
Left-S_orbital-H_Shaped	2750.0	2.68	1044.0	0.135
Left-S_parieto_occipital	2846.0	2.3040000000000003	1431.0	0.132
Left-S_pericallosal	1323.0	2.42	758.0	0.13
Left-S_postcentral	4509.0	2.396	2228.0	0.139
Left-S_precentral-inf-part	2929.0	2.549	1294.0	0.12
Left-S_precentral-sup-part	1862.0	2.365	910.0	0.094
Left-S_suborbital	985.0	2.5980000000000003	438.0	0.095
Left-S_subparietal	1562.0	2.511	697.0	0.139
Left-S_temporal_inf	2679.0	2.65	1148.0	0.129
Left-S_temporal_sup	12401.0	2.5989999999999998	4954.0	0.10800000000000001
Left-S_temporal_transverse	603.0	2.521	297.0	0.106
BrainSegVolNotVent	1239792.0	1239792.0	90212.1	1239792.0
eTIV	1725225.417331	1725225.417331	1239792.0	1725225.417331
